,Age,Income,MonthlyCharge,Tenure,Outage_sec_perweek,Email,Bandwidth_GB_Year,Yearly_equip_failure,PaperlessBilling,Churn,Gender_Male,Gender_Nonbinary,Contract_One year,Contract_Two Year,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Area_Suburban,Area_Urban,InternetService_Fiber Optic
0,68,28561.99,172.455519,6.795512947,7.978322947,10,904.5361102,1,1,0,1,0,1,0,0,0,0,1,0,1,1
1,27,21704.77,242.632554,1.156680997,11.69907956,12,800.9827661,1,1,1,0,0,0,0,1,0,0,0,0,1,1
2,50,9609.57,159.947583,15.75414408,10.75280028,9,2054.706961,1,1,0,0,0,0,1,0,0,0,1,0,1,0
3,48,18925.23,119.95684,17.08722662,14.91353964,15,2164.579412,0,1,0,1,0,0,1,1,0,0,0,1,0,0
4,83,40074.19,149.948316,1.670971726,8.147416533,16,271.4934362,1,0,1,1,0,0,0,0,0,1,0,1,0,1
6,79,11467.5,200.118516,13.23677381,11.18272453,10,1907.242972,1,0,1,1,0,0,0,0,0,0,1,1,0,0
7,30,26759.64,114.950905,4.26425515,7.791632265,16,979.6127078,0,1,1,0,0,0,0,1,0,0,0,1,0,0
8,49,58634.51,117.468591,8.220686373,5.739005915,20,1312.874964,3,1,0,0,1,0,0,0,0,1,0,1,0,0
9,86,50231.4,162.482694,3.422086139,8.707823904,18,508.7637913,0,1,0,0,0,0,1,1,0,0,0,0,0,1
10,23,22580.7,174.958118,19.26726194,9.341631685,9,2728.767869,2,0,0,0,0,0,0,0,0,1,0,0,1,0
11,56,18342.12,149.962093,10.52199781,6.68082638,17,1180.588788,1,0,0,0,0,0,0,1,0,0,0,0,0,1
12,83,83671.08,137.439154,13.01149229,8.273875452,9,1196.388018,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13,29,115114.57,184.971516,16.87922024,5.880565591,14,1948.694497,0,1,0,0,0,0,1,0,0,1,0,0,1,1
14,30,64256.81,159.965581,10.06019902,11.79073041,10,1582.295235,0,1,1,1,0,0,0,0,0,1,0,0,1,0
16,63,31659.3,194.966286,15.78214958,13.52284721,13,2070.376729,0,1,1,0,0,0,0,1,0,0,0,0,1,0
19,23,19494.75,149.944668,12.80615845,10.92246098,10,1954.080809,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20,38,39624.21,184.978458,20.45390977,12.06889188,14,2330.319383,3,1,0,1,0,0,0,0,1,0,0,0,0,1
21,30,45714.47,127.495766,2.415991977,6.984819996,18,594.1054279,0,0,0,1,0,0,1,0,0,0,0,1,0,1
22,52,27442.03,124.964303,6.652298992,9.372975594,16,713.0633088,1,1,0,1,0,0,0,0,0,0,1,0,1,1
23,68,79699.62,149.948316,8.543717478,7.109002592,9,945.3802928,0,1,0,1,0,1,0,0,0,0,0,0,1,1
25,77,12558.83,92.455141,4.157658837,9.767668044,12,774.2937069,0,0,1,1,0,0,0,0,0,1,0,1,0,0
26,47,8762.23,222.649979,10.40566091,15.8626095,15,1506.446527,1,0,1,0,0,0,0,1,0,0,0,0,0,1
28,20,10482.52,200.132293,1.430386349,13.43558029,13,1259.415493,0,0,1,0,0,1,0,0,0,1,0,0,1,0
29,69,33442.79,257.651257,5.425864884,10.61771118,18,1745.125956,0,1,1,1,0,0,1,0,1,0,0,1,0,0
30,45,43383.54,230.105118,11.08287797,6.613070806,14,1795.465729,0,1,0,1,0,0,1,1,0,0,0,0,1,1
32,82,51960.51,230.105118,4.727388465,8.774646693,9,1013.993166,0,1,1,0,0,0,0,0,0,0,0,0,0,1
33,74,25942.1,174.958118,20.89923386,11.13156721,8,2680.762173,1,0,1,1,0,0,0,0,0,1,0,0,0,0
34,69,11211.59,267.664655,3.471329958,5.540788887,15,1081.814362,0,0,1,1,0,1,0,0,0,0,1,0,1,1
35,52,8283.29,162.483267,5.478588204,13.80362698,11,1209.961168,1,1,1,1,0,0,0,0,1,0,0,1,0,0
36,26,10114.81,229.993134,3.312991809,16.31017089,16,897.5919144,1,1,1,0,0,0,0,0,1,0,0,1,0,1
37,25,36229.21,140.00128,7.161561527,9.447065309,9,1340.930156,0,1,0,0,0,1,0,0,1,0,0,0,1,0
38,66,25397.44,184.964681,9.847563364,16.84100845,12,1113.993679,0,0,0,0,0,0,1,0,0,0,0,1,0,1
39,72,50336.5,147.473844,16.04202196,7.972937227,10,1530.10769,1,0,0,1,0,0,1,0,0,0,0,1,0,1
40,21,38211.37,172.457857,9.179779682,11.42906608,12,1310.137419,0,1,0,0,0,0,0,0,0,0,0,0,1,1
41,55,52887.26,107.481989,3.002844144,8.06137096,16,892.8964931,0,1,0,1,0,0,0,1,0,0,0,1,0,0
42,41,12003.33,255.141716,3.924254455,12.54780492,11,1125.581944,2,0,1,1,0,0,1,0,0,0,0,1,0,1
43,32,24090.62,192.456745,18.55959629,8.255565152,13,2016.710031,0,1,0,1,0,0,1,0,1,0,0,1,0,1
44,22,15137.93,242.632554,8.798394712,13.156514,6,1412.736809,0,1,1,0,0,0,1,0,1,0,0,0,0,1
46,23,132116.33,184.964681,22.25746016,12.50184778,11,2384.885909,0,1,1,1,0,0,0,0,0,0,0,1,0,1
47,43,37358.13,195.006206,9.427146079,9.750038902,11,1213.940165,0,1,1,0,0,0,0,0,1,0,0,1,0,1
50,62,4662.37,184.979684,3.343811019,8.957166926,13,1026.387172,0,0,1,0,0,0,0,0,0,1,0,0,1,0
52,59,38391.55,149.962093,5.486534225,4.210347704,8,727.3731845,0,1,0,0,0,0,0,0,1,0,0,1,0,1
53,31,44137.6,169.944668,1.55278221,11.13960534,6,452.8721504,0,1,1,0,0,1,0,0,0,1,0,0,1,1
54,51,14364.65,160.00128,12.07970325,9.03738856,11,1296.674543,0,1,1,1,0,0,0,0,0,0,1,0,1,1
55,58,62359.91,129.962093,13.98666226,10.91594785,11,1840.628269,1,0,0,0,0,1,0,0,0,1,0,1,0,0
56,73,82634.86,114.950905,9.563362997,8.387624096,11,1324.330108,1,1,1,1,0,0,0,1,0,0,0,1,0,0
59,49,29207.46,124.97808,7.233605493,8.425458142,9,676.712908,0,1,0,0,0,0,1,0,1,0,0,0,0,1
